property_size,longitude,latitude,total_floor,BHK_type_encoded,bathroom,locality_encoded,furnishing_encoded,floor,parking_encoded
1300.0,77.56815588,12.94160313,3.0,1,2.0,124,2,3.0,0
600.0,77.56188704,12.99880262,3.0,1,1.0,604,2,0.0,3
600.0,77.66106338,12.96646692,1.0,0,1.0,374,2,0.0,3
500.0,77.59260601,12.94153349,2.0,0,1.0,362,1,2.0,3
1400.0,77.75162506,12.97108269,4.0,2,3.0,776,2,3.0,0
1200.0,77.55611936,12.90538361,2.0,2,2.0,456,2,1.0,3
1050.0,77.67285803,12.92773813,4.0,1,2.0,135,0,2.0,0
1300.0,77.55422796,12.93095071,1.0,1,1.0,27,1,1.0,0
1100.0,77.65013818,12.97116215,4.0,1,2.0,557,2,2.0,0
650.0,77.5974688,12.9487883,2.0,1,1.0,778,2,1.0,0
1100.0,77.54517776,12.91190197,0.0,1,2.0,182,2,0.0,0
1305.0,77.7306492,12.9680249,3.0,2,3.0,777,2,0.0,0
950.0,77.67292023,12.96132755,3.0,1,2.0,754,2,0.0,0
1200.0,77.6760381,12.9071497,10.0,1,2.0,409,2,0.0,1
410.0,77.62934101,12.91094653,2.0,0,1.0,273,2,1.0,3
729.0,77.67055575,12.97431867,1.0,1,1.0,395,2,0.0,3
450.0,77.59483599,12.90017723,4.0,0,1.0,337,2,0.0,3
700.0,77.55609384,12.92777925,2.0,1,1.0,415,2,2.0,0
1301.0,77.74433,12.984311,3.0,1,2.0,775,2,2.0,0
1500.0,77.60942887,12.91352938,2.0,1,2.0,86,2,0.0,0
1800.0,77.6460714,12.908728,2.0,1,2.0,284,2,0.0,0
750.0,77.70932536,12.95023035,2.0,1,1.0,519,2,1.0,3
450.0,77.63759032,12.91944007,4.0,0,1.0,353,2,4.0,0
800.0,77.62619928,12.9773851,3.0,1,2.0,731,2,1.0,0
400.0,77.6088327,12.90690792,3.0,0,1.0,86,2,0.0,3
1350.0,77.54587356,12.90708356,3.0,1,2.0,133,2,2.0,0
1200.0,77.67532599,12.90563366,2.0,1,2.0,413,2,1.0,0
1260.0,77.5049535,12.9236751,5.0,1,2.0,597,2,0.0,0
300.0,77.59464814,12.95887624,3.0,5,1.0,667,2,2.0,3
1450.0,77.7182918,12.9498848,3.0,2,3.0,720,2,0.0,0
1500.0,77.7549089,12.9659766,4.0,2,3.0,549,2,1.0,0
850.0,77.67286412,12.96744084,2.0,1,1.0,395,2,0.0,3
